deviceID,timestamp,PM10,PM2.5,NO2,O3,NO,temperature,humidity
17dh0cf43jg89n,1606784400000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606788000000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606791600000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606795200000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606798800000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606802400000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606806000000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606809600000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606813200000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606816800000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606820400000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606824000000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606827600000,0,0,0,0,0,NA,NA
17dh0cf43jg89n,1606831200000,6.1922774,2.7603853,41.24357442151754,27.38255956916036,40.158128790040664,NA,NA
17dh0cf43jg89n,1606834800000,5.553815,2.6061344,48.15477774211938,22.959591153549145,45.0423223588049,NA,NA
17dh0cf43jg89n,1606838400000,5.8648834,3.0044405,43.07491643303882,23.4207938268393,40.65334170832198,NA,NA
17dh0cf43jg89n,1606842000000,6.458951,3.1894047,45.85204727726759,24.819425156374212,35.4872736563405,NA,NA
17dh0cf43jg89n,1606845600000,5.2422166,2.8708615,36.5595791848999,31.245762222044586,31.840170119449734,NA,NA
17dh0cf43jg89n,1606849200000,3.7197132,2.0641308,22.06955843580778,46.05486911481421,27.180906406557348,NA,NA
17dh0cf43jg89n,1606852800000,1.448893,1.0084206,15.524274967584613,53.11673339727165,25.276538397999765,NA,NA
17dh0cf43jg89n,1606856400000,1.3662066,0.97856575,17.781413459724778,49.75275450164774,23.546358256160588,NA,NA
17dh0cf43jg89n,1606860000000,1.2284135,0.91059774,25.99301519537766,44.467577393590624,24.258401131445254,NA,NA
17dh0cf43jg89n,1606863600000,1.3938433,0.94418275,24.124945975098175,39.596663949823814,22.264533703088013,NA,NA
17dh0cf43jg89n,1606867200000,0.9906431,0.7888693,19.748929278719658,42.645680300518386,20.749440082759744,9,46
17dh0cf43jg89n,1606870800000,0.9360409,0.6425204,14.283328780487718,45.87824160241863,21.19318758568818,9,44
17dh0cf43jg89n,1606874400000,0.66675526,0.48080373,13.332129509134584,50.58417462292555,20.00177201336619,8,45
17dh0cf43jg89n,1606878000000,0.591425,0.375282,19.259686047802635,40.408441940512994,21.136568846972107,7,48
17dh0cf43jg89n,1606881600000,0.4741419,0.30461842,22.845135226970744,35.94758817463993,23.91764497558844,7,48
17dh0cf43jg89n,1606885200000,0.502267,0.22168162,31.69222221499403,30.00417799507041,26.019103475722748,7,48
17dh0cf43jg89n,1606888800000,0.78097564,0.35842118,38.721013276525746,23.817128036897763,40.53170326684012,7,47
17dh0cf43jg89n,1606892400000,1.560876,0.59245104,61.48187304735904,17.49478131490942,64.86870035621536,7,46
17dh0cf43jg89n,1606896000000,1.7947578,0.8705796,66.08317825232056,13.509331593030561,75.14492464202122,7,47
17dh0cf43jg89n,1606899600000,2.5300653,1.2811542,60.85426459393721,18.631593955913388,75.46157486571728,7,46
17dh0cf43jg89n,1606903200000,2.6307268,1.4942398,62.786824583111425,13.009766232001157,75.7907727946757,8,45
17dh0cf43jg89n,1606906800000,2.6711185,1.6648959,60.19454195303901,15.535077997236689,64.51698046749334,8,45
17dh0cf43jg89n,1606910400000,2.9475584,1.652895,63.951226352666666,15.771562006577827,62.416045117304215,8,45
17dh0cf43jg89n,1606914000000,3.007894,1.7838961,63.852442716031305,18.391350980796712,67.90604071605819,8,44
17dh0cf43jg89n,1606917600000,3.357439,2.1322598,62.7665615797699,12.686085298122817,70.8435376217765,9,43
17dh0cf43jg89n,1606921200000,3.0724223,2.259835,52.51389541965194,23.91235155834345,56.77390516807861,10,41
17dh0cf43jg89n,1606924800000,1.8156341,1.330067,31.161578535620745,35.107976304325256,29.785344070648577,11,38
17dh0cf43jg89n,1606928400000,1.6936511,1.119227,14.700470665668318,64.4785800047747,20.774951494905704,12,38
17dh0cf43jg89n,1606932000000,2.4193325,1.3983288,22.900995327229424,57.53419166949251,17.97187356019021,11,45
17dh0cf43jg89n,1606935600000,1.6754816,0.81376994,22.693058322313153,48.043457596869615,17.88820435555119,11,48
17dh0cf43jg89n,1606939200000,3.8907533,1.0485792,19.97906726757998,43.048272024230904,21.68068464264004,11,48
17dh0cf43jg89n,1606942800000,1.3723675,0.74907076,16.819785144574713,42.42215292721295,18.881784351796888,11,47
17dh0cf43jg89n,1606946400000,0.47674066,0.27661553,10.015973786310562,53.98804660155722,14.619548468481156,12,45
17dh0cf43jg89n,1606950000000,0.15280664,0.07420809,9.475982741851285,50.78468276212212,15.975582509420027,13,41
17dh0cf43jg89n,1606953600000,0.259949,0.086570226,9.479613211172262,49.16784478821573,13.639791798765117,13,40
17dh0cf43jg89n,1606957200000,0.17558092,0.088291034,11.392998574414326,44.080131354491805,13.7283676460866,14,38
17dh0cf43jg89n,1606960800000,0.09987257,0.08998731,11.457924908465959,48.17750472266423,11.914282011359624,14,37
17dh0cf43jg89n,1606964400000,0.10831824,0.079307064,12.624937063799921,59.867343322882604,13.384326602825913,13,36
17dh0cf43jg89n,1606968000000,0.20638315,0.16642484,12.677002173982187,67.19519310127515,15.577098790844099,13,35
17dh0cf43jg89n,1606971600000,0.33193037,0.18204115,11.21514535635915,54.64096959273882,15.067588613704348,13,34
17dh0cf43jg89n,1606975200000,0.4510405,0.22466855,17.517631014821788,46.26909392891083,15.23739720936039,13,34
17dh0cf43jg89n,1606978800000,0.44441542,0.21162046,12.592703158642953,53.46713103052331,16.875553071007964,12,34
17dh0cf43jg89n,1606982400000,0.84451294,0.2721915,19.745363837060115,39.023484434855526,24.073331687870624,12,35
17dh0cf43jg89n,1606986000000,0.9728978,0.32639554,19.59866319822697,39.34360228558113,27.80865421280087,12,36
17dh0cf43jg89n,1606989600000,1.4293959,0.37296247,14.817999530590935,43.682302814045464,34.872695618037554,12,35
17dh0cf43jg89n,1606993200000,2.335223,0.48289326,14.244539081992814,44.30439424424142,31.772994322913505,13,34
17dh0cf43jg89n,1606996800000,2.2640123,0.46684292,13.436817617031572,46.62180130624094,31.10185694375113,13,34
17dh0cf43jg89n,1607000400000,2.8976123,0.5643179,9.436682299106067,45.89649335070683,26.888413532804933,13,33
17dh0cf43jg89n,1607004000000,2.2365851,0.5984846,20.187038335802335,40.35059160441707,22.797998676429504,13,33
17dh0cf43jg89n,1607007600000,2.0244763,0.52355,14.547142920662523,44.943986467643384,22.241846047849446,13,32
17dh0cf43jg89n,1607011200000,1.2432748,0.70739985,12.446583300737332,48.24555463100648,21.126983449831314,13,32
17dh0cf43jg89n,1607014800000,1.339301,0.48186806,9.20594709764472,53.69056687447799,20.39176256651402,13,33
17dh0cf43jg89n,1607018400000,0.83699137,0.5105906,17.304618345547432,51.98894499956711,19.212017560966107,13,32
17dh0cf43jg89n,1607022000000,0.9969986,0.50248086,13.708241139811012,54.236406708856414,17.344717126157228,12,32
17dh0cf43jg89n,1607025600000,0.91659707,0.4988249,11.946682660397633,58.379002037816555,19.482834286399424,12,32
17dh0cf43jg89n,1607029200000,0.7812295,0.47812343,10.40155721229954,62.1045889152441,19.781173123267898,11,33
17dh0cf43jg89n,1607032800000,0.7368476,0.62459123,12.793877797098991,62.528039489047885,16.067028545701525,11,33
17dh0cf43jg89n,1607036400000,0.7088077,0.63605195,13.151618757826473,56.71672975151483,16.44871551918129,11,34
17dh0cf43jg89n,1607040000000,0.8344605,0.7434615,9.643572548930257,61.14196473436163,18.604882123201023,11,34
17dh0cf43jg89n,1607043600000,1.0243334,0.9069788,10.557988911077274,68.83961270375552,17.089208488075727,10,34
17dh0cf43jg89n,1607047200000,0.7791013,0.71446925,14.162248878528915,66.81187541526887,17.544615919157586,10,33
17dh0cf43jg89n,1607050800000,0.64101374,0.5211798,8.193044949169465,75.62533326737004,16.380049904361623,11,33
17dh0cf43jg89n,1607054400000,0.51057637,0.47540656,13.188935001359857,65.19985240504361,15.97673857285617,11,34
17dh0cf43jg89n,1607058000000,0.80631703,0.47484317,13.911170243935779,65.85904747122176,17.5475131701617,11,34
17dh0cf43jg89n,1607061600000,0.84999263,0.40736762,13.345949449632046,65.06757397387425,17.620302612156287,11,34
17dh0cf43jg89n,1607065200000,1.1466752,0.34492233,7.904003757212516,60.73529582954535,17.642230318632866,11,34
17dh0cf43jg89n,1607068800000,1.2609844,0.3248477,17.862249539288825,51.72297463634784,20.799487700165447,11,35
17dh0cf43jg89n,1607072400000,0.8900341,0.2987656,13.095668275633574,53.538469553063216,18.860056530177772,11,36
17dh0cf43jg89n,1607076000000,1.1027296,0.23171727,12.366980966865412,56.31627461938713,23.746211836131806,11,36
17dh0cf43jg89n,1607079600000,1.0840477,0.24503154,19.56305093541342,50.09447101199327,21.099862059771187,11,35
17dh0cf43jg89n,1607083200000,1.6057571,0.36798638,13.63786094153484,50.637422790111465,24.452964827309337,12,33
17dh0cf43jg89n,1607086800000,2.4334126,0.6303967,20.78325258070973,42.275860203558004,29.162702377898498,11,33
17dh0cf43jg89n,1607090400000,2.0829678,0.51141346,22.233083596024684,36.12107584811713,35.43567280033041,11,34
17dh0cf43jg89n,1607094000000,1.240793,0.42279366,20.791576552070953,36.85395324403385,34.93140927734751,10,35
17dh0cf43jg89n,1607097600000,1.9268488,0.737626,19.89831644856462,38.656155370211444,28.659216024143838,10,35
17dh0cf43jg89n,1607101200000,1.2957872,0.68970007,19.55993581158588,36.734287362710766,27.034847052647205,10,36
17dh0cf43jg89n,1607104800000,1.0381044,0.46634716,11.964422717865311,48.26076444624356,24.553700869035353,11,35
17dh0cf43jg89n,1607108400000,1.001181,0.42859253,12.153933485501133,51.2962572575951,23.347128808596594,11,35
17dh0cf43jg89n,1607112000000,0.8681269,0.46526903,11.861061480748173,46.40910287986762,22.310061889826972,11,35
17dh0cf43jg89n,1607115600000,0.6792019,0.2940892,14.331073140133306,60.64639783188623,19.976787509564325,11,33
17dh0cf43jg89n,1607119200000,0.6315156,0.31215283,8.245293365438279,61.78749100097164,19.059715068771702,11,33
17dh0cf43jg89n,1607122800000,0.5424613,0.35585764,7.8946459545052905,67.57597188108457,21.257934230525773,11,34
17dh0cf43jg89n,1607126400000,0.4871264,0.34020358,14.35186627297137,52.61055225701802,17.102808191381257,10,34
17dh0cf43jg89n,1607130000000,0.60457444,0.31574404,11.099450175399987,51.94690603381291,20.041362923270754,10,35
17dh0cf43jg89n,1607133600000,0.48754525,0.30301052,10.586000144300229,45.79875885657781,20.147616862869793,9,36
17dh0cf43jg89n,1607137200000,0.57809806,0.3204789,11.025601325651872,46.875903549946294,20.462626418183998,9,37
17dh0cf43jg89n,1607140800000,0.40500444,0.2532848,13.1887908556191,44.631277626296445,22.821137676186662,9,37
17dh0cf43jg89n,1607144400000,0.41625267,0.26290464,14.243529433401722,43.13017322381048,20.12590314386117,9,37
17dh0cf43jg89n,1607148000000,0.5069658,0.27639398,9.182014325816855,50.936038623626885,21.072435695921122,9,36
17dh0cf43jg89n,1607151600000,0.6855165,0.37714303,10.432875073819686,43.70491157504877,21.593639449071024,10,36
17dh0cf43jg89n,1607155200000,1.1213816,0.51681703,18.22803611511295,39.70487435172404,23.230192637410237,10,36
17dh0cf43jg89n,1607158800000,1.7245791,0.6925642,29.098178033398874,29.16129481636949,22.942917333799898,10,36
17dh0cf43jg89n,1607162400000,2.8553898,0.9022641,25.369466103112373,28.82992937966843,24.018879681545606,10,36
17dh0cf43jg89n,1607166000000,3.1596763,1.1518205,26.043009847862464,30.802135123010746,28.910102517101638,10,37
17dh0cf43jg89n,1607169600000,4.2706394,1.3624254,32.811397614087774,30.134157126521544,30.646701293356244,9,38
17dh0cf43jg89n,1607173200000,3.9479523,1.9020646,42.738649944244536,20.80177171562271,47.90530843572408,9,40
17dh0cf43jg89n,1607176800000,3.779868,1.7459822,40.34006657935663,21.640814698244032,44.8142870729226,8,42
17dh0cf43jg89n,1607180400000,3.100536,1.5805044,28.80354903430284,27.087908304219518,35.73988770196475,8,42
17dh0cf43jg89n,1607184000000,2.66691,1.4232569,26.46034299333856,28.06247740967101,31.73273778264638,8,41
17dh0cf43jg89n,1607187600000,2.6675696,1.7457294,31.89731733717365,23.438417804883464,32.56987736989376,7,42
17dh0cf43jg89n,1607191200000,2.098849,1.3468457,31.139684709242886,25.271673765553366,29.48985059929218,6,44
17dh0cf43jg89n,1607194800000,2.1687808,1.6850669,25.158740047486283,28.3887719993181,30.691475701162165,6,45
17dh0cf43jg89n,1607198400000,1.8009231,1.4706365,14.06377240799922,35.40237721736168,26.905410502281764,6,46
17dh0cf43jg89n,1607202000000,1.536276,1.1103661,12.295960102178176,41.275890659032655,25.36312820061298,6,46
17dh0cf43jg89n,1607205600000,1.3114932,1.0863607,16.375280162534033,37.647364005306066,27.043517528418306,6,45
17dh0cf43jg89n,1607209200000,1.4552288,1.0862563,17.984787520085238,34.782925140093305,27.686200143741402,6,45
17dh0cf43jg89n,1607212800000,1.1572952,0.96961415,12.80356719076608,36.4061028967538,28.085602329893916,6,45
17dh0cf43jg89n,1607216400000,1.0166651,0.7672515,12.960396232530796,35.177814355538594,26.88909085831513,6,44
17dh0cf43jg89n,1607220000000,0.97580385,0.7176782,11.803356007010345,38.14120979957463,24.95351901791738,7,44
17dh0cf43jg89n,1607223600000,0.74841243,0.67400694,14.422989032683606,34.92823020750947,25.97518370376997,8,45
17dh0cf43jg89n,1607227200000,0.5962621,0.39149928,4.402971936882186,47.6985762911584,21.85899501594087,8,46
17dh0cf43jg89n,1607230800000,0.4666202,0.25945732,11.885594122192659,43.78380958410593,22.50500397329808,9,45
17dh0cf43jg89n,1607234400000,0.290654,0.19507633,8.712528951499845,49.008349190082235,22.985571742046872,10,44
17dh0cf43jg89n,1607238000000,0.49776506,0.2689137,12.620754956765536,40.262493476586705,20.957058041540986,10,45
17dh0cf43jg89n,1607241600000,0.8133781,0.39385524,13.95310782575026,35.26665323532655,23.980183472296556,10,45
17dh0cf43jg89n,1607245200000,1.1157246,0.83824474,20.13599505730654,28.390369253978808,32.178233565556475,8,46
17dh0cf43jg89n,1607248800000,1.413995,1.2018057,17.20857692879608,32.14353091092981,25.168549306719484,8,47
17dh0cf43jg89n,1607252400000,1.2811058,1.101456,18.86794072829405,33.49942795633775,26.00023736082219,8,47
17dh0cf43jg89n,1607256000000,1.9385574,1.4106863,28.070591118510478,26.068573669437725,34.24172169010403,9,47
17dh0cf43jg89n,1607259600000,2.2720501,1.6580068,25.357420401062182,26.174853391959903,40.78561877038173,9,48
17dh0cf43jg89n,1607263200000,2.8314464,2.1534793,34.1192104788038,23.478322604460583,54.44351178426362,8,49
17dh0cf43jg89n,1607266800000,2.63222,1.9949781,28.176463372233506,22.885095330830875,45.229161359602315,9,46
17dh0cf43jg89n,1607270400000,2.2583947,1.8621155,25.544181614870013,23.694032154795103,41.58561488038355,10,45
17dh0cf43jg89n,1607274000000,2.0038126,1.6748495,21.734115489919684,28.34377270029229,34.2614208692076,10,43
17dh0cf43jg89n,1607277600000,1.3303579,1.0632833,20.5281293865674,28.35231275300247,27.235033976063285,11,41
17dh0cf43jg89n,1607281200000,1.2276917,1.0247827,25.034297571016722,24.29221821297432,27.772841069728532,11,40
17dh0cf43jg89n,1607284800000,1.2519246,1.0371903,22.244308239907753,27.7167542718632,27.031961665657775,10,41
17dh0cf43jg89n,1607288400000,0.8963377,0.75490886,19.693195793187456,32.640422261228366,25.80485229590266,10,40
17dh0cf43jg89n,1607292000000,0.8489231,0.7015976,20.82584842250792,33.04357947222942,25.462653972598,10,40
17dh0cf43jg89n,1607295600000,0.9721141,0.73392534,20.605332028344417,33.09470007550475,27.18128411869637,9,41
17dh0cf43jg89n,1607299200000,0.77384835,0.59794676,16.47498572871944,37.74614131434966,24.84943750886206,8,43
17dh0cf43jg89n,1607302800000,0.48753425,0.431899,12.276711505924254,43.80275998955389,22.8927320464696,8,43
17dh0cf43jg89n,1607306400000,0.58602595,0.414014,6.228793941970594,47.403282667092476,24.426232463476786,8,44
17dh0cf43jg89n,1607310000000,0.48810706,0.439508,8.228839260985056,47.00414305783367,23.55122365197154,7,45
17dh0cf43jg89n,1607313600000,0.5468742,0.44245815,14.070672087904665,36.388124813522616,26.28704777359993,7,45
17dh0cf43jg89n,1607317200000,0.8408103,0.57121617,17.617515709609872,32.910022754256985,30.563702321813665,7,45
17dh0cf43jg89n,1607320800000,1.1149474,0.6708513,22.843302754251127,28.139862208305118,28.798505288100472,9,45
17dh0cf43jg89n,1607324400000,1.8710508,0.88071185,28.84063591063938,29.334764366505883,36.85799963229752,10,46
17dh0cf43jg89n,1607328000000,2.416865,1.0752549,28.71599147730543,30.94018688540059,25.48574687166591,10,47
17dh0cf43jg89n,1607331600000,2.397735,1.0778476,23.735857576970634,29.42287813799297,29.512319578144933,10,48
17dh0cf43jg89n,1607335200000,1.8039353,0.9051485,16.582633644792217,43.46453541396632,28.667879576368133,10,48
